Id,Label,time,friends,followers,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,stat_inf_class,clustering,componentnumber,strongcompnum,pageranks,eigencentrality,X,Y,Size,Color
135179095,,109253,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009934,0,0.341666,0.81027,1,"#9a96e5"
141953871,,326175,9,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.009934,0,0.594158,0.539687,1,"#9a96e5"
102923567,,231235,11,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0.009934,0,0.44186,0.612305,1,"#9a96e5"
207647787,207647787,186988,8,8,1,1,2,1,1,2,1,1,1,0,0,0,14,15,0,3,3,0.066225,0.172992,0.887389,0.736009,1,"#f97743"
14423930,,159872,13,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0.009934,0,0.84917,0.545944,1,"#9a96e5"
55237119,,248912,11,9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,5,0.009934,0,0.725753,0.477528,1,"#9a96e5"
179268503,179268503,292058,10,10,1,1,2,1,1,2,1,1,1,0,0,0,5,5,0,6,6,0.066225,0.172992,0,0.430346,1,"#f97743"
800456497,800456497,292271,10,11,1,1,2,1,1,2,1,1,1,0,0,0,5,5,0,6,6,0.066225,0.172992,0.106704,0.214544,1,"#f97743"
265510341,,335301,10,9,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,7,7,0.009934,0,0.331255,0.482528,1,"#9a96e5"
14930209,14930209,266421,13,13,1,1,2,1,1,2,1,1,1,0,0,0,16,7,0,8,8,0.066225,0.172992,0.24488,0.642278,1,"#f97743"
364700471,364700471,1509,8,8,1,1,2,1,1,2,2,0.666667,0.75,0,0.408248,0.57735,11,12,0,9,9,0.051034,0.707097,0.399385,1,1,"#f97743"
666200381,,168142,9,6,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,10,10,0.009934,0,0.189576,0.433516,1,"#9a96e5"
77182786,,159982,12,10,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,11,11,0.009934,0,0.47253,0.46788,1,"#9a96e5"
123240657,123240657,258837,12,15,1,1,2,1,1,2,1,1,1,0,0,0,17,17,0,12,12,0.066225,0.172992,0.35237,0.29509,1,"#f97743"
365316036,,312910,12,11,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,13,13,0.009934,0,0.716365,0.640812,1,"#9a96e5"
667573865,,162895,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,14,14,0.009934,0,0.464032,0.758678,1,"#9a96e5"
692888650,692888650,0,8,7,2,2,4,2,2,4,1,1,1,1,0.816497,0.57735,11,12,0,9,9,0.096608,1,0.654508,0.903202,1,"#28b36a"
135170473,135170473,140559,10,11,1,1,2,1,1,2,1,1,1,0,0,0,15,16,0,15,15,0.066225,0.172992,0.607498,0.327327,1,"#f97743"
152674545,,544587,9,8,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,16,16,0.009934,0,0.581571,0.67942,1,"#9a96e5"
20369894,,302416,10,15,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,17,17,0.009934,0,0.519444,0.142877,1,"#9a96e5"
445909836,445909836,5973,10,8,1,1,2,1,1,2,2,0.666667,0.75,0,0.408248,0.57735,11,12,0,9,9,0.051034,0.707097,0.010892,0.680531,1,"#f97743"
178515840,178515840,185097,9,9,1,1,2,1,1,2,1,1,1,0,0,0,14,15,0,3,3,0.066225,0.172992,0.891232,0.350298,1,"#f97743"
835977340,835977340,142823,6,7,1,1,2,1,1,2,1,1,1,0,0,0,15,16,0,15,15,0.066225,0.172992,0.738221,0.138209,1,"#f97743"
92513586,92513586,277045,10,10,1,1,2,1,1,2,1,1,1,0,0,0,16,7,0,8,8,0.066225,0.172992,0.157496,0.890582,1,"#f97743"
108825983,108825983,261146,8,11,1,1,2,1,1,2,1,1,1,0,0,0,17,17,0,12,12,0.066225,0.172992,0.329861,0.064949,1,"#f97743"
836610377,,236789,8,9,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,18,18,0.009934,0,0.554737,0,1,"#9a96e5"
211845494,,308109,10,10,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,19,19,0.009934,0,1,0.539062,1,"#9a96e5"
